customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,churn
C00116,20,20.03,1388.11,Month-to-month,DSL,Electronic check,0
C00117,39,77.55,5772.47,One year,No,Bank transfer,0
C00118,49,39.17,1554.85,Month-to-month,No,Electronic check,0
C00119,18,115.7,2846.6,Month-to-month,No,Bank transfer,0
C00120,65,40.53,7594.59,Month-to-month,Fiber optic,Electronic check,1
C00121,33,86.53,7449.86,One year,No,Electronic check,0
C00122,10,108.09,6232.78,Month-to-month,No,Bank transfer,0
C00123,15,117.05,255.78,Two year,Fiber optic,Mailed check,1
C00124,10,21.68,1812.22,Two year,Fiber optic,Bank transfer,0
C00125,50,117.53,7616.54,Month-to-month,DSL,Credit card,1
C00126,35,67.82,3555.88,Two year,Fiber optic,Credit card,0
C00127,6,36.57,5696.73,Month-to-month,Fiber optic,Electronic check,1
C00128,32,111.75,1343.03,One year,DSL,Electronic check,1
C00129,44,85.68,799.63,Two year,No,Mailed check,0
C00130,69,38.8,2816.71,Month-to-month,Fiber optic,Bank transfer,0
C00131,49,60.83,4902.24,One year,Fiber optic,Mailed check,0
C00132,26,61.89,7438.4,Month-to-month,No,Bank transfer,0
C00133,70,113.01,2828.59,One year,DSL,Electronic check,0
C00134,14,67.89,887.43,Two year,Fiber optic,Electronic check,0
C00135,69,81.79,3035.28,One year,Fiber optic,Mailed check,0
C00136,7,29.04,1002.48,Month-to-month,Fiber optic,Electronic check,1
C00137,10,68.03,7688.21,Two year,Fiber optic,Bank transfer,0
C00138,6,115.67,3143.93,Month-to-month,DSL,Mailed check,0
C00139,30,59.98,3547.28,Two year,Fiber optic,Electronic check,0
C00140,58,96.86,6619.23,Month-to-month,Fiber optic,Bank transfer,1
C00141,7,90.43,1372.57,One year,Fiber optic,Credit card,0
C00142,42,51.16,3298.63,One year,Fiber optic,Mailed check,0
C00143,12,39.39,7994.35,Two year,Fiber optic,Electronic check,0
C00144,51,112.68,1002.79,Month-to-month,DSL,Mailed check,0
C00145,54,100.48,6907.84,Month-to-month,DSL,Bank transfer,1
C00146,12,41.78,4066.23,Month-to-month,Fiber optic,Mailed check,0
C00147,62,119.71,6501.93,Month-to-month,DSL,Electronic check,1
C00148,57,64.57,3022.51,Month-to-month,Fiber optic,Mailed check,0
C00149,31,46.9,5684.69,One year,DSL,Mailed check,1
C00150,25,64.61,4133.19,Month-to-month,DSL,Mailed check,0
C00151,25,96.49,7874.58,Month-to-month,No,Credit card,0
C00152,10,105.52,3255.0,Two year,DSL,Mailed check,0
C00153,1,106.73,4717.48,One year,DSL,Credit card,0
C00154,66,37.69,7867.83,One year,Fiber optic,Bank transfer,0
C00155,32,26.37,1296.25,Month-to-month,Fiber optic,Credit card,1
C00156,15,97.63,6121.81,Month-to-month,DSL,Credit card,0
C00157,68,101.42,5601.28,Month-to-month,Fiber optic,Bank transfer,0
C00158,8,51.99,7485.9,Month-to-month,No,Mailed check,0
C00159,55,40.02,6393.85,Two year,DSL,Mailed check,1
C00160,30,83.26,2419.73,Two year,Fiber optic,Bank transfer,0
C00161,61,98.54,1793.38,Two year,Fiber optic,Mailed check,1
C00162,46,103.34,4165.25,Two year,No,Mailed check,0
C00163,71,75.38,3615.27,Month-to-month,Fiber optic,Electronic check,1
C00164,5,77.11,6092.82,One year,Fiber optic,Credit card,0
C00165,16,117.62,2907.56,Month-to-month,No,Mailed check,0
C00166,38,45.46,7145.97,Month-to-month,No,Bank transfer,1
C00167,60,59.87,127.6,Month-to-month,DSL,Bank transfer,0
C00168,64,64.24,2744.37,Month-to-month,No,Mailed check,0
C00169,15,33.27,2261.64,Month-to-month,DSL,Credit card,0
C00170,34,102.63,3399.72,One year,DSL,Credit card,0
C00171,3,110.79,3598.54,Month-to-month,Fiber optic,Electronic check,0
C00172,70,59.79,7217.48,One year,No,Electronic check,0
C00173,32,48.52,2767.93,Month-to-month,Fiber optic,Electronic check,0
C00174,21,101.33,4732.63,Month-to-month,DSL,Credit card,1
C00175,42,97.27,886.69,Two year,No,Electronic check,0
C00176,11,64.8,3492.24,Month-to-month,No,Electronic check,0
C00177,42,30.63,5257.3,Month-to-month,DSL,Credit card,0
C00178,7,84.82,597.35,Two year,No,Bank transfer,0
C00179,37,51.99,243.62,One year,Fiber optic,Bank transfer,0
C00180,28,109.57,2237.72,Two year,No,Electronic check,0
C00181,64,114.67,2662.2,Two year,No,Bank transfer,0
C00182,50,99.62,5953.11,Month-to-month,DSL,Electronic check,0
C00183,5,60.19,1505.86,Month-to-month,DSL,Credit card,1
C00184,71,109.93,7759.58,Month-to-month,No,Credit card,1
C00185,67,113.56,4690.63,Month-to-month,Fiber optic,Bank transfer,0
C00186,47,100.71,5883.49,Two year,No,Electronic check,1
C00187,55,39.62,1037.76,One year,DSL,Credit card,0
C00188,48,112.4,1448.5,One year,Fiber optic,Credit card,0
C00189,7,96.21,5849.1,Month-to-month,Fiber optic,Mailed check,0
C00190,55,46.39,1884.94,One year,DSL,Mailed check,0
C00191,63,62.24,1268.92,Month-to-month,Fiber optic,Electronic check,0
C00192,28,61.57,616.4,One year,Fiber optic,Mailed check,0
C00193,24,98.51,243.72,Month-to-month,No,Electronic check,0
C00194,22,92.36,1359.06,One year,Fiber optic,Electronic check,1
C00195,19,29.67,6733.84,Month-to-month,DSL,Mailed check,0
C00196,30,77.09,6864.23,Month-to-month,No,Mailed check,0
C00197,40,51.89,1275.02,One year,Fiber optic,Electronic check,0
C00198,22,33.68,835.3,Month-to-month,Fiber optic,Mailed check,0
C00199,8,70.24,1036.24,One year,DSL,Electronic check,0
C00200,46,20.52,1469.92,One year,Fiber optic,Credit card,0
C00201,70,28.59,6002.0,One year,Fiber optic,Bank transfer,0
C00202,18,29.59,7966.54,One year,DSL,Bank transfer,0
C00203,60,116.45,809.07,Month-to-month,Fiber optic,Electronic check,0
C00204,14,41.27,217.3,Month-to-month,DSL,Electronic check,0
C00205,14,75.78,6107.35,One year,Fiber optic,Electronic check,0
C00206,46,86.47,6469.4,Month-to-month,Fiber optic,Mailed check,0
C00207,38,78.13,3690.62,Month-to-month,Fiber optic,Credit card,0
C00208,26,47.59,4437.54,Month-to-month,Fiber optic,Electronic check,1
C00209,40,68.91,7767.27,One year,Fiber optic,Credit card,1
C00210,27,115.31,6108.86,Month-to-month,Fiber optic,Electronic check,0
C00211,35,23.64,6758.37,One year,Fiber optic,Mailed check,0
C00212,2,90.36,265.52,Two year,Fiber optic,Mailed check,0
C00213,69,97.4,7402.48,One year,DSL,Credit card,0
C00214,34,101.47,5137.21,Month-to-month,DSL,Credit card,0
C00215,32,29.64,460.9,Month-to-month,Fiber optic,Electronic check,0
C00216,56,52.25,7353.29,Month-to-month,DSL,Bank transfer,1
C00217,24,52.07,5906.98,One year,Fiber optic,Electronic check,0
C00218,32,25.46,5190.22,Month-to-month,Fiber optic,Credit card,0
C00219,39,74.67,979.2,Month-to-month,No,Credit card,0
C00220,40,36.46,508.05,One year,Fiber optic,Mailed check,0
C00221,32,84.59,3388.81,Month-to-month,Fiber optic,Bank transfer,1
C00222,51,112.61,1936.37,Month-to-month,DSL,Electronic check,1
C00223,60,42.0,5766.66,Month-to-month,DSL,Electronic check,0
C00224,54,92.32,359.13,Month-to-month,No,Bank transfer,0
C00225,10,100.75,3179.6,One year,No,Bank transfer,0
C00226,43,51.52,7776.65,Month-to-month,No,Mailed check,0
C00227,48,26.37,1737.13,Month-to-month,No,Electronic check,1
C00228,64,25.69,3438.32,Two year,Fiber optic,Bank transfer,0
C00229,49,21.68,2680.78,Month-to-month,No,Electronic check,0
C00230,39,51.22,4282.61,Month-to-month,DSL,Electronic check,0
C00231,15,30.61,4948.01,Month-to-month,Fiber optic,Bank transfer,1
C00232,41,20.41,6586.07,Month-to-month,Fiber optic,Mailed check,0
C00233,24,106.19,593.22,Month-to-month,No,Credit card,0
C00234,65,109.24,5344.97,Two year,No,Bank transfer,0
C00235,31,90.18,4400.65,Two year,DSL,Electronic check,0
C00236,25,112.14,548.33,Month-to-month,No,Mailed check,0
C00237,31,114.42,7742.5,Two year,No,Bank transfer,0
C00238,50,80.66,7375.64,Month-to-month,Fiber optic,Bank transfer,1
C00239,7,93.53,6143.24,Two year,Fiber optic,Mailed check,0
C00240,46,94.75,4332.86,One year,No,Mailed check,0
C00241,71,25.42,1876.11,Two year,DSL,Mailed check,0
C00242,40,21.88,2851.99,One year,DSL,Electronic check,0
C00243,46,43.08,2176.17,Month-to-month,No,Bank transfer,0
C00244,35,93.92,5953.23,Month-to-month,Fiber optic,Electronic check,0
C00245,30,35.01,6142.05,One year,Fiber optic,Mailed check,0
C00246,17,45.67,7826.52,One year,DSL,Mailed check,0
C00247,20,42.08,7294.02,One year,No,Bank transfer,1
C00248,58,32.44,7161.93,Month-to-month,No,Mailed check,0
C00249,63,105.01,301.13,One year,DSL,Mailed check,1
C00250,58,94.4,7050.37,Two year,No,Mailed check,1
C00251,35,42.24,1232.13,One year,DSL,Electronic check,0
C00252,2,113.61,892.42,Month-to-month,Fiber optic,Mailed check,0
C00253,27,96.1,3260.6,Two year,No,Bank transfer,0
C00254,33,116.42,4534.57,Two year,Fiber optic,Electronic check,0
C00255,55,61.24,3253.42,Month-to-month,Fiber optic,Electronic check,1
C00256,3,62.32,5930.11,One year,Fiber optic,Credit card,0
C00257,32,83.58,3174.52,One year,No,Electronic check,0
C00258,12,98.61,1911.63,One year,Fiber optic,Bank transfer,0
C00259,6,21.18,5221.31,One year,No,Mailed check,0
C00260,27,29.48,4572.16,Two year,DSL,Bank transfer,0
C00261,46,80.83,7290.17,One year,No,Electronic check,0
C00262,2,48.57,2093.89,Two year,No,Bank transfer,0
C00263,69,35.13,6542.66,One year,DSL,Credit card,1
C00264,49,59.5,2706.92,Month-to-month,Fiber optic,Credit card,0
C00265,71,119.86,5332.24,One year,Fiber optic,Mailed check,0
C00266,41,27.72,5403.31,Two year,Fiber optic,Credit card,0
C00267,24,26.66,3559.11,One year,DSL,Bank transfer,0
C00268,2,73.01,7861.43,Month-to-month,No,Credit card,0
C00269,34,21.87,7030.5,Month-to-month,Fiber optic,Bank transfer,1
C00270,53,95.03,2530.23,Two year,Fiber optic,Bank transfer,1
C00271,18,71.51,7152.41,Two year,Fiber optic,Mailed check,0
C00272,28,29.43,5625.75,Month-to-month,Fiber optic,Credit card,0
C00273,35,75.23,4747.97,One year,Fiber optic,Credit card,0
C00274,6,83.59,4827.09,Month-to-month,Fiber optic,Mailed check,0
C00275,53,65.69,3634.1,Month-to-month,Fiber optic,Mailed check,0
C00276,33,42.43,5162.42,Two year,DSL,Mailed check,0
C00277,53,96.89,1366.91,Month-to-month,Fiber optic,Credit card,0
C00278,35,30.52,5737.47,One year,No,Mailed check,0
C00279,54,23.22,1524.32,One year,DSL,Credit card,0
C00280,41,59.03,7534.08,Month-to-month,DSL,Electronic check,0
C00281,8,97.05,6904.54,Two year,No,Electronic check,1
C00282,67,84.21,7738.48,Month-to-month,No,Credit card,0
C00283,15,88.55,7168.76,Two year,DSL,Mailed check,1
C00284,3,72.13,6404.52,One year,Fiber optic,Bank transfer,0
C00285,66,43.06,901.25,Month-to-month,No,Mailed check,1
C00286,66,27.88,2161.36,Two year,DSL,Credit card,1
C00287,10,107.36,2580.43,One year,Fiber optic,Bank transfer,1
C00288,12,72.27,1004.52,Two year,Fiber optic,Credit card,0
C00289,41,32.54,787.76,Month-to-month,Fiber optic,Credit card,1
C00290,45,70.12,1074.19,Two year,No,Mailed check,0
C00291,52,38.5,6268.83,One year,DSL,Credit card,1
C00292,22,87.05,3468.48,Month-to-month,No,Mailed check,1
C00293,57,76.45,2116.52,Month-to-month,DSL,Credit card,0
C00294,18,72.85,6184.47,One year,No,Electronic check,0
C00295,54,90.36,7735.35,Month-to-month,Fiber optic,Credit card,0
C00296,6,51.45,2615.37,One year,DSL,Credit card,0
C00297,4,58.53,4223.54,Month-to-month,Fiber optic,Mailed check,0
C00298,36,88.29,6182.15,Month-to-month,Fiber optic,Bank transfer,1
C00299,36,39.36,6063.03,Month-to-month,DSL,Credit card,0
C00300,48,40.39,567.47,Month-to-month,No,Bank transfer,0
C00301,15,113.63,2805.68,Month-to-month,No,Mailed check,0
C00302,9,115.44,6763.3,One year,No,Mailed check,0
C00303,44,117.96,6781.85,One year,No,Bank transfer,0
C00304,61,24.0,3786.85,Month-to-month,No,Credit card,0
C00305,3,62.38,3202.19,Month-to-month,Fiber optic,Bank transfer,0
C00306,63,24.15,2025.45,Two year,DSL,Mailed check,0
C00307,36,85.74,3084.15,Two year,No,Credit card,1
C00308,56,76.11,3712.45,Two year,No,Bank transfer,0
C00309,54,23.15,2960.33,Two year,Fiber optic,Bank transfer,0
C00310,62,57.1,5482.34,Two year,Fiber optic,Credit card,1
C00311,2,118.06,4481.72,Month-to-month,DSL,Electronic check,1
C00312,24,96.25,3776.94,Two year,No,Bank transfer,0
C00313,15,91.26,3651.91,Two year,DSL,Mailed check,0
C00314,50,27.74,5006.22,Month-to-month,Fiber optic,Credit card,0
C00315,35,48.13,6197.95,Two year,No,Credit card,0
C00316,15,31.4,907.38,Month-to-month,Fiber optic,Mailed check,0
C00317,16,67.55,3651.86,Two year,No,Bank transfer,0
C00318,49,91.02,3039.91,One year,DSL,Electronic check,0
C00319,42,22.94,5836.36,Month-to-month,No,Bank transfer,0
C00320,66,78.51,7151.47,One year,DSL,Bank transfer,0
C00321,38,41.77,600.16,One year,Fiber optic,Electronic check,1
C00322,40,85.05,1631.13,One year,DSL,Electronic check,0
C00323,17,55.72,7282.96,Month-to-month,No,Credit card,0
C00324,24,47.19,3456.23,One year,No,Credit card,0
C00325,30,75.46,506.89,Two year,DSL,Credit card,1
C00326,62,106.51,6630.45,Two year,No,Mailed check,0
C00327,15,82.64,1228.83,Two year,Fiber optic,Bank transfer,0
C00328,20,88.01,3598.99,Two year,DSL,Mailed check,0
C00329,60,97.63,6259.03,Two year,DSL,Mailed check,0
C00330,36,42.39,3117.22,Two year,No,Bank transfer,0
C00331,43,40.03,6351.91,Two year,No,Mailed check,0
C00332,6,103.52,4896.71,Month-to-month,Fiber optic,Electronic check,0
C00333,29,21.88,403.8,One year,Fiber optic,Mailed check,0
C00334,25,53.36,6781.5,One year,Fiber optic,Mailed check,0
C00335,62,117.49,7900.77,Month-to-month,No,Bank transfer,1
C00336,11,68.75,2150.48,Month-to-month,No,Credit card,0
C00337,69,31.8,2179.92,Two year,DSL,Electronic check,0
C00338,40,38.92,5591.8,Month-to-month,No,Electronic check,0
C00339,54,106.61,1032.93,Month-to-month,DSL,Mailed check,0
C00340,51,100.98,3160.54,One year,DSL,Mailed check,0
C00341,13,108.43,2273.51,Month-to-month,Fiber optic,Electronic check,0
C00342,12,97.45,3252.3,Month-to-month,Fiber optic,Mailed check,0
C00343,5,76.84,7017.65,Month-to-month,Fiber optic,Electronic check,0
C00344,8,86.73,6882.83,Month-to-month,Fiber optic,Mailed check,0
C00345,32,27.51,6840.32,Month-to-month,No,Credit card,0
C00346,57,36.21,6762.57,Month-to-month,Fiber optic,Bank transfer,0
C00347,34,58.58,3829.63,Two year,DSL,Bank transfer,1
C00348,55,78.44,6459.62,Month-to-month,No,Electronic check,0
C00349,12,76.18,3283.67,Two year,No,Bank transfer,0
C00350,28,43.61,3287.78,Month-to-month,No,Mailed check,0
C00351,45,66.62,3405.43,Month-to-month,DSL,Mailed check,0
C00352,6,92.71,7066.42,Month-to-month,Fiber optic,Bank transfer,0
C00353,63,67.61,5993.85,Two year,No,Credit card,1
C00354,19,58.35,6884.59,One year,Fiber optic,Mailed check,0
C00355,12,56.71,1670.9,Month-to-month,DSL,Electronic check,0
C00356,23,103.1,1008.14,One year,Fiber optic,Electronic check,1
C00357,38,100.24,1889.34,Month-to-month,Fiber optic,Electronic check,0
C00358,53,98.39,2280.47,One year,DSL,Electronic check,0
C00359,13,71.27,148.54,Month-to-month,DSL,Mailed check,1
C00360,30,44.51,6602.77,Month-to-month,Fiber optic,Credit card,0
C00361,52,48.63,2220.08,Two year,No,Mailed check,0
C00362,51,47.1,189.19,Two year,Fiber optic,Mailed check,0
C00363,61,22.43,293.48,Month-to-month,Fiber optic,Electronic check,0
C00364,14,33.84,469.6,One year,DSL,Electronic check,0
C00365,22,97.92,2411.27,Month-to-month,DSL,Electronic check,0
C00366,45,49.88,4412.84,One year,DSL,Electronic check,1
C00367,38,73.77,128.68,One year,DSL,Electronic check,1
C00368,24,43.27,2447.9,One year,Fiber optic,Mailed check,0
C00369,22,51.67,7435.96,Month-to-month,Fiber optic,Credit card,0
C00370,20,28.0,2825.02,Month-to-month,No,Mailed check,0
C00371,67,81.79,5460.45,One year,DSL,Mailed check,0
C00372,11,75.88,652.58,Month-to-month,No,Electronic check,1
C00373,53,119.59,4729.39,One year,Fiber optic,Credit card,0
C00374,25,96.81,812.68,One year,No,Mailed check,0
C00375,30,48.81,197.38,One year,No,Bank transfer,1
C00376,67,101.73,2269.96,Month-to-month,Fiber optic,Electronic check,1
C00377,25,21.33,937.34,Month-to-month,Fiber optic,Electronic check,0
C00378,42,85.06,820.23,One year,DSL,Mailed check,1
C00379,59,42.16,6718.24,Month-to-month,DSL,Credit card,0
C00380,64,33.05,1198.13,One year,DSL,Electronic check,1
C00381,47,102.71,3961.72,Two year,No,Bank transfer,1
C00382,8,55.05,287.37,Month-to-month,Fiber optic,Mailed check,0
C00383,32,76.7,3208.79,One year,Fiber optic,Electronic check,0
C00384,47,23.64,3869.31,Month-to-month,No,Bank transfer,0
C00385,5,50.37,2219.85,One year,No,Mailed check,0
C00386,18,57.05,2795.76,Two year,No,Electronic check,0
C00387,9,118.37,1307.99,Two year,DSL,Bank transfer,0
C00388,29,109.72,3875.4,One year,DSL,Electronic check,0
C00389,28,38.31,6651.8,Month-to-month,No,Mailed check,0
C00390,57,92.35,128.16,Two year,Fiber optic,Mailed check,0
C00391,23,95.53,4035.42,Month-to-month,No,Credit card,0
C00392,6,84.65,3297.18,Month-to-month,Fiber optic,Bank transfer,0
C00393,41,27.69,6611.06,Month-to-month,Fiber optic,Credit card,1
C00394,66,68.87,1591.84,Two year,No,Credit card,0
C00395,37,64.79,3946.3,Month-to-month,DSL,Mailed check,0
C00396,35,52.63,7025.2,Two year,Fiber optic,Bank transfer,0
C00397,48,104.03,713.71,Two year,No,Mailed check,0
C00398,47,105.49,5054.32,Two year,Fiber optic,Credit card,0
C00399,56,73.83,7971.64,Two year,DSL,Credit card,0
C00400,63,115.16,2273.01,One year,Fiber optic,Bank transfer,0
C00401,66,77.39,5077.99,One year,Fiber optic,Electronic check,0
C00402,30,42.65,5023.12,One year,DSL,Bank transfer,0
C00403,11,79.45,2099.35,Month-to-month,DSL,Mailed check,0
C00404,61,90.05,2368.12,One year,Fiber optic,Mailed check,1
C00405,18,80.68,1286.22,Month-to-month,Fiber optic,Electronic check,1
C00406,55,22.19,228.95,Month-to-month,DSL,Bank transfer,1
C00407,70,24.52,3081.25,Month-to-month,DSL,Bank transfer,0
C00408,13,29.25,104.22,Month-to-month,No,Mailed check,1
C00409,8,28.33,4614.11,Month-to-month,No,Electronic check,1
C00410,39,55.06,4210.32,One year,DSL,Bank transfer,1
C00411,4,79.48,5376.61,Month-to-month,DSL,Mailed check,1
C00412,64,92.76,2185.57,One year,DSL,Mailed check,1
C00413,8,98.54,6779.76,Month-to-month,Fiber optic,Electronic check,0
C00414,14,34.66,3656.6,One year,No,Credit card,1
C00415,43,30.0,1642.56,Two year,Fiber optic,Electronic check,1
C00416,55,24.13,1441.1,Two year,Fiber optic,Mailed check,0
C00417,45,97.98,6343.29,Month-to-month,Fiber optic,Credit card,0
C00418,69,90.41,2212.49,Month-to-month,No,Credit card,0
C00419,51,72.28,5233.35,One year,No,Mailed check,0
C00420,41,68.66,1313.6,Two year,No,Credit card,1
C00421,65,104.77,7923.63,One year,Fiber optic,Electronic check,1
C00422,32,72.51,5318.15,One year,No,Mailed check,0
C00423,49,119.67,6253.79,Month-to-month,DSL,Electronic check,0
C00424,37,60.46,4374.41,One year,No,Bank transfer,0
C00425,7,112.83,7641.62,Month-to-month,Fiber optic,Electronic check,0
C00426,23,38.08,716.12,One year,Fiber optic,Mailed check,0
